,fecha,DESH. ESP.,CHICH. MIXTO,CHICH. ESP,DESH. PURA,Zanahoria,CHICH. PURO,DESH. 90,DESH. 80,CHICH. CHAR,DESH. ECO,DESH. CHAR,Manteca,Tocino,CUERO RUTA 5k,Trompo Medio,CUERO RUTA 2k,CUERO NAT,Trompo Kilo,temp_max,temp_avg,temp_min,humidity_max,humidity_avg,humidity_min,weekday
0,2020-08-03,0,197,16,0,0,0,0,11,0,226,0,87,0,13,0,0,5,0,34,27.6,22,94,66.9,36,0
1,2020-08-04,0,75,21,0,0,0,5,7,0,134,0,172,0,2,0,0,5,0,33,27.3,22,100,71.3,36,1
2,2020-08-05,0,170,84,0,0,0,0,13,0,184,0,76,0,7,0,2,6,0,32,27.4,23,100,76.5,52,2
3,2020-08-06,0,150,16,7,0,0,0,0,0,174,10,61,0,2,0,0,5,0,33,27.7,24,89,72.2,49,3
4,2020-08-07,0,207,46,0,0,0,0,13,0,224,0,127,0,7,0,1,12,0,33,27.7,24,94,72.2,49,4
5,2020-08-08,0,227,26,0,0,5,0,0,0,347,0,62,0,5,0,0,4,0,33,27.7,23,100,72.5,49,5
6,2020-08-10,0,251,20,2,0,0,0,13,0,221,0,125,0,6,0,0,8,0,33,26.8,21,88,65.2,41,0
7,2020-08-11,0,66,41,0,0,0,0,0,0,139,0,142,0,1,0,0,6,0,35,27.3,21,94,69.0,34,1
8,2020-08-12,0,140,34,2,0,0,0,8,0,157,0,57,0,6,0,0,7,0,35,27.8,21,100,68.6,39,2
9,2020-08-13,0,158,13,4,0,0,0,5,0,138,5,87,0,2,0,0,7,0,33,27.8,23,94,70.7,46,3
10,2020-08-14,0,216,43,1,0,0,0,11,0,228,0,72,0,8,0,1,12,0,33,27.0,22,100,71.8,46,4
11,2020-08-15,0,221,73,2,0,0,0,5,0,265,0,51,0,4,0,0,5,0,34,27.8,23,88,66.2,38,5
12,2020-08-17,0,220,25,0,0,0,0,13,0,251,0,85,0,5,0,0,10,0,33,27.7,23,89,66.7,38,0
13,2020-08-18,0,93,22,0,0,0,0,0,0,130,0,155,0,1,0,0,5,0,33,27.5,22,88,65.3,36,1
14,2020-08-19,0,131,23,0,0,0,0,13,0,149,0,116,0,4,0,0,10,0,33,27.5,21,94,64.6,43,2
15,2020-08-20,0,138,28,7,0,0,0,0,0,239,5,38,0,2,0,0,6,0,36,28.3,21,88,54.8,23,3
16,2020-08-21,0,231,22,0,0,0,0,18,0,206,0,146,0,10,0,0,12,0,35,28.1,22,83,58.5,36,4
17,2020-08-22,0,229,28,2,0,0,0,0,0,269,0,138,0,2,0,0,5,0,35,28.0,22,94,62.9,30,5
18,2020-08-24,0,276,30,0,0,0,0,13,0,268,0,52,0,5,0,1,10,0,32,26.5,21,94,68.9,38,0
19,2020-08-25,0,55,14,1,0,0,0,0,0,119,0,172,0,2,0,1,5,0,33,27.3,22,88,67.5,46,1
20,2020-08-26,0,130,27,1,0,0,0,13,0,146,0,68,0,4,0,0,7,0,35,29.3,23,89,61.3,36,2
21,2020-08-27,0,142,18,5,0,0,0,0,0,193,0,34,0,3,0,0,8,0,36,29.8,24,83,59.4,37,3
22,2020-08-28,0,216,34,0,0,0,0,10,0,278,0,93,0,9,0,0,11,0,35,29.3,23,94,66.0,41,4
23,2020-08-29,0,233,37,6,0,0,0,5,0,204,0,80,0,4,0,0,5,0,34,28.8,24,94,71.8,52,5
24,2020-08-31,0,278,30,0,0,0,0,13,0,264,0,53,0,5,0,0,9,0,36,29.4,24,89,69.3,44,0
25,2020-09-01,0,60,15,1,0,0,0,0,0,114,0,95,0,2,0,0,3,0,38,31.1,25,89,62.8,37,1
26,2020-09-02,0,143,32,0,0,0,0,8,0,150,0,128,0,5,0,0,7,0,34,29.6,25,78,64.6,52,2
27,2020-09-03,0,124,15,7,0,0,0,0,0,184,6,19,0,3,0,0,4,0,34,27.6,21,89,69.2,38,3
28,2020-09-04,0,216,46,0,0,0,0,18,15,242,0,172,0,8,0,0,14,0,34,27.2,23,100,72.0,38,4
29,2020-09-05,0,245,23,0,0,0,0,0,0,242,0,73,0,3,0,0,5,0,25,23.4,22,100,92.0,83,5
30,2020-09-07,0,203,32,0,0,0,0,13,0,232,0,110,0,5,0,0,5,0,30,24.8,22,100,86.4,62,0
31,2020-09-08,0,72,17,0,0,0,0,0,0,113,0,103,0,1,0,0,5,0,30,26.3,23,100,81.6,62,1
32,2020-09-09,0,150,34,1,0,0,0,13,0,162,0,120,0,6,0,0,4,0,30,25.0,20,100,82.7,66,2
33,2020-09-10,0,125,15,6,0,0,0,0,0,193,0,54,0,1,0,0,6,0,21,18.5,17,100,89.4,73,3
34,2020-09-11,0,192,39,3,0,0,0,18,0,256,0,180,0,8,0,0,10,0,24,19.8,16,100,88.3,69,4
35,2020-09-12,0,239,75,0,0,0,0,0,0,204,0,108,0,2,0,0,3,0,29,24.0,20,100,81.2,58,5
36,2020-09-14,0,245,39,0,0,0,0,12,0,256,0,111,0,8,0,0,9,0,28,24.2,22,100,88.7,74,0
37,2020-09-15,0,62,21,1,0,0,0,5,0,127,0,135,0,2,0,0,3,0,28,23.8,22,100,89.3,66,1
38,2020-09-16,0,118,21,0,0,0,0,10,0,145,0,130,0,4,0,0,4,0,31,26.2,22,100,80.3,55,2
39,2020-09-17,0,121,21,8,0,0,0,5,0,171,0,62,0,4,0,0,5,0,29,24.9,23,94,80.3,58,3
40,2020-09-18,0,182,40,6,0,0,0,18,0,263,0,129,0,6,0,1,13,0,29,23.5,21,94,82.1,62,4
41,2020-09-19,0,248,29,1,0,0,0,5,0,287,0,73,0,1,0,0,5,0,29,24.1,20,100,74.7,48,5
42,2020-09-21,0,149,109,0,0,0,0,17,0,269,0,183,0,8,0,0,8,0,30,23.3,16,88,61.2,35,0
43,2020-09-22,0,60,28,0,0,0,0,0,0,94,0,77,0,1,0,0,4,0,32,24.6,16,82,58.5,31,1
44,2020-09-23,0,128,25,1,0,0,0,7,0,147,0,73,0,3,0,0,7,0,32,25.3,19,88,64.7,40,2
45,2020-09-24,0,202,37,8,0,0,0,0,0,202,0,60,0,2,0,0,7,0,31,25.3,19,94,71.9,49,3
46,2020-09-25,0,204,32,6,0,0,0,21,0,254,0,141,0,8,0,0,12,0,31,25.8,22,100,77.7,49,4
47,2020-09-26,0,202,27,0,0,0,0,0,0,301,0,108,0,1,0,0,4,0,32,25.3,21,100,78.5,49,5
48,2020-09-28,0,202,33,0,0,0,0,15,0,286,0,118,0,7,0,0,8,0,27,23.0,21,100,70.6,43,0
49,2020-09-29,0,76,13,1,0,0,0,0,0,128,0,195,0,1,0,0,6,0,27,22.2,19,60,42.7,24,1
50,2020-09-30,0,133,34,0,0,0,0,15,0,147,0,220,0,3,0,0,1,0,29,20.3,12,82,48.7,23,2
51,2020-10-01,0,122,31,7,0,0,0,0,0,152,0,167,0,3,0,0,9,0,30,20.9,11,82,49.6,19,3
52,2020-10-02,0,201,43,5,0,0,0,23,0,287,0,63,0,12,0,0,10,0,29,21.7,14,88,56.0,28,4
53,2020-10-03,0,282,27,1,0,0,0,0,0,289,0,83,0,2,0,0,5,0,30,22.7,15,94,62.7,37,5
54,2020-10-05,0,190,94,0,0,777777777,0,15,0,276,0,144,0,10,0,0,10,0,30,22.6,16,94,60.8,25,0
55,2020-10-06,0,62,23,0,0,0,0,0,0,140,0,141,0,2,0,0,5,0,30,22.5,15,88,58.2,29,1
56,2020-10-07,0,142,33,1,0,0,0,5,0,158,0,114,0,3,0,0,9,0,30,23.3,17,94,63.5,40,2
57,2020-10-08,0,183,32,7,0,0,0,0,0,220,0,531,0,2,0,0,3,0,32,24.2,16,88,52.8,21,3
58,2020-10-09,0,221,42,5,0,0,0,23,0,292,0,91,0,14,0,0,11,0,35,25.3,18,73,48.1,21,4
59,2020-10-10,0,189,27,0,0,0,0,0,0,239,0,78,0,2,0,0,5,0,36,26.0,17,73,41.7,17,5
60,2020-10-12,0,243,25,0,0,0,0,15,0,264,0,112,0,12,0,0,8,0,34,26.2,18,100,62.7,28,0
61,2020-10-13,0,97,85,0,0,0,0,0,0,131,0,153,0,1,0,0,3,0,32,26.4,22,94,71.3,43,1
62,2020-10-14,0,141,43,0,0,0,0,17,0,169,0,55,0,5,0,0,6,0,32,26.1,21,100,71.8,46,2
63,2020-10-15,0,204,26,10,0,0,0,0,0,219,0,94,0,2,0,0,7,0,36,27.4,18,94,58.9,28,3
64,2020-10-16,0,233,43,0,0,0,0,23,0,244,0,106,0,8,0,0,12,0,26,22.1,16,82,53.6,34,4
65,2020-10-17,0,188,29,0,0,0,0,0,0,261,0,63,0,2,0,0,4,0,29,20.8,13,100,69.8,42,5
66,2020-10-19,0,196,33,1,0,0,0,15,0,226,0,122,0,21,0,0,6,0,32,24.8,19,100,73.9,46,0
67,2020-10-20,0,63,16,0,0,0,0,0,0,109,0,52,0,1,0,0,3,0,31,25.5,22,94,73.9,48,1
68,2020-10-21,0,124,39,1,0,0,0,17,0,171,0,83,0,4,0,0,7,0,30,25.0,20,100,72.6,48,2
69,2020-10-22,0,122,21,8,0,0,0,0,0,238,0,35,0,1,0,0,7,0,30,24.1,20,100,78.2,48,3
70,2020-10-23,0,29,16,5,0,0,0,21,0,57,0,30,0,3,0,0,0,0,33,25.7,20,100,70.7,41,4
71,2020-10-27,0,71,30,1,0,0,0,0,0,130,0,225,0,7,0,0,3,0,18,12.4,7,100,81.5,64,1
72,2020-10-28,0,117,40,1,0,0,0,17,0,140,0,37,0,6,0,0,7,0,23,13.0,6,100,64.1,25,2
73,2020-10-29,0,169,25,1,0,0,0,0,0,214,0,46,0,2,0,0,4,0,27,20.9,15,48,33.3,20,3
74,2020-10-30,0,202,41,1,0,0,0,18,0,268,0,112,0,19,0,0,11,0,24,16.4,9,76,51.5,31,4
75,2020-10-31,0,283,37,0,0,0,0,5,0,275,0,173,0,3,0,0,7,0,25,17.3,8,81,54.8,34,5
76,2020-11-02,0,212,36,0,0,0,0,17,0,287,0,99,0,13,0,0,8,0,25,18.8,13,82,57.5,29,0
77,2020-11-03,0,70,14,1,0,0,0,0,0,116,0,104,0,3,0,0,3,0,25,17.5,10,94,63.8,36,1
78,2020-11-04,0,155,33,1,0,0,0,16,0,160,0,157,0,3,0,0,9,0,26,18.6,11,94,64.6,39,2
79,2020-11-05,0,200,24,0,0,0,0,0,0,206,0,78,0,2,0,0,7,0,27,20.1,14,100,68.0,37,3
80,2020-11-06,0,223,39,5,0,0,0,23,0,275,0,70,0,7,0,0,13,0,27,19.7,15,100,70.5,39,4
